# ----------------------------------------
# Verhaltensübersicht
# ----------------------------------------
#   #
X. Tag,Aufrufe
0000,59

X. Tag,Ereignisanzahl
0000,383

#   #


#   #
Name des Events,Ereignisanzahl
page_view,59
discover_more_click,40
session_start,35
first_visit,33
set_nudge_0,23
set_nudge_1,21
show_nudge_0,21
submit_click,19
set_nudge_2,15
show_nudge_1,15
user_engagement,12
show_nudge_2,11
comfort_0_click,8
basic_1_click,6
basic_0_click,5
basic_2_click,4
comfort_1_click,4
happy_basic_1_click,4
happy_top_0_click,4
modal_cancel,4
neutral_comfort_0_click,4
top_0_click,4
comfort_2_click,3
home_click,3
neutral_basic_0_click,3
happy_basic_0_click,2
happy_basic_2_click,2
happy_comfort_0_click,2
happy_comfort_2_click,2
happy_top_1_click,2
header_liability_click,2
neutral_comfort_1_click,2
top_1_click,2
happy_comfort_1_click,1
happy_top_2_click,1
neutral_basic_2_click,1
neutral_comfort_2_click,1
sad_basic_2_click,1
sad_comfort_1_click,1
top_2_click,1

#   #
Seitentitel und Bildschirmklasse,Aufrufe
matiive insurance,59
