time,mturk_id,age,gender,education
2019/11/30 5:24:42 AM MEZ,A199CHTO9RKUCE ,30 - 39,Female,High School / GED
2019/11/30 5:25:03 AM MEZ,A199CHTO9RKUCE ,30 - 39,Female,High School / GED
2019/11/30 5:27:00 AM MEZ,A199CHTO9RKUCE ,30 - 39,Female,High School / GED
2019/11/30 5:45:26 AM MEZ,AWBE11AIHVI0I,18 - 29,Male,4-year College Degree
2019/11/30 5:54:27 AM MEZ,A3B01JZN07Z6TT,30 - 39,Female,4-year College Degree
2019/11/30 5:54:55 AM MEZ,A3B01JZN07Z6TT,30 - 39,Female,4-year College Degree
2019/11/30 6:05:27 AM MEZ,A12GME5CM4AJA4,> 50,Female,High School / GED
2019/11/30 6:28:05 AM MEZ,A2FQYXUQ7F8IKK,30 - 39,Male,4-year College Degree
2019/11/30 6:42:00 AM MEZ,AZPJUBGJZ3BT4,30 - 39,Female,Masters Degree
2019/11/30 6:48:22 AM MEZ,A3P04JZJNOYILR,30 - 39,Male,High School / GED
2019/11/30 6:56:38 AM MEZ,A2Q1JUSJ9THUDZ,30 - 39,Male,4-year College Degree
2019/11/30 7:08:13 AM MEZ,A3EGBKPP7W7T2U,18 - 29,Female,Some College
2019/11/30 7:12:28 AM MEZ,ADI2ET16Y15O7,18 - 29,Male,4-year College Degree
2019/11/30 7:27:19 AM MEZ,ARYBIBWHJ3JP2,30 - 39,Male,4-year College Degree
2019/12/01 9:15:26 PM MEZ,A2HUTXBZ4YCVYT,18 - 29,Female,Some College
2019/12/01 9:46:27 PM MEZ,ARG392N6HWZCJ,18 - 29,Male,4-year College Degree
2019/12/01 9:57:13 PM MEZ,A3AHAY1VIJDCGX,18 - 29,Female,Some College
2019/12/01 10:26:17 PM MEZ,A2U0JT7TSIIXPS,30 - 39,Male,4-year College Degree
2019/12/01 10:42:48 PM MEZ,A3GTPW3MYSLMR7,40 - 49,Female,4-year College Degree
2019/12/01 10:51:50 PM MEZ,A5YRC4QT53JRO,> 50,Male,Masters Degree
2019/12/01 10:58:55 PM MEZ,A3EGXFT5MXGKKO,40 - 49,Female,4-year College Degree
2019/12/01 11:02:03 PM MEZ,A1VPSWYSCJYPEB,18 - 29,Female,Masters Degree
2019/12/01 11:02:31 PM MEZ,A1VPSWYSCJYPEB,18 - 29,Female,Masters Degree
2019/12/01 11:02:47 PM MEZ,A1VPSWYSCJYPEB,18 - 29,Female,Masters Degree
2019/12/01 11:03:37 PM MEZ,A1VPSWYSCJYPEB,18 - 29,Female,Masters Degree
2019/12/01 11:04:18 PM MEZ,A1VPSWYSCJYPEB,18 - 29,Female,Masters Degree
2019/12/01 11:10:06 PM MEZ,A3GPYCHKB2KDLC,> 50,Male,Masters Degree
2019/12/01 11:18:30 PM MEZ,A16ZXNUKUPMH4,18 - 29,Female,4-year College Degree
2019/12/01 11:33:27 PM MEZ,A2MJPD3LC12OBW,30 - 39,Female,Professional Degree
2019/12/01 11:39:23 PM MEZ,A6RMMV8AHXY9J,18 - 29,Female,Some College
2019/12/01 11:50:08 PM MEZ,COPIEDA2YMUFG3UO7U3X,18 - 29,Female,Some College
2019/12/01 11:51:40 PM MEZ,COPIEDA2YMUFG3UO7U3X,18 - 29,Female,Some College
2019/12/01 11:54:29 PM MEZ,COPIEDA2YMUFG3UO7U3X,18 - 29,Female,Some College
2019/12/02 12:09:13 AM MEZ,AFD412X980HR0,18 - 29,Female,Some College
2019/12/02 12:10:15 AM MEZ,AFD412X980HR0,18 - 29,Female,Some College
2019/12/02 12:11:08 AM MEZ,AFD412X980HR0,18 - 29,Female,Some College
2019/12/02 12:15:22 AM MEZ,A1BTS5I89BDTX3,18 - 29,Female,Some College
2019/12/02 12:30:49 AM MEZ,AKC5R24V6ZBRP,18 - 29,Male,Masters Degree
2019/12/02 12:41:20 AM MEZ,A2JV461I3AIXOH,30 - 39,Female,2-year College Degree
2019/12/02 12:55:21 AM MEZ,A6381MY3CURAX,18 - 29,Female,Some College
2019/12/02 1:10:32 AM MEZ,A2CUR35USFGOHG,> 50,Female,High School / GED
2019/12/02 1:16:09 AM MEZ,A2HOPUKWOAF2DQ,18 - 29,Female,High School / GED
2019/12/02 1:21:31 AM MEZ,A1W66YAWYD43P1,> 50,Female,Masters Degree
2019/12/02 1:37:11 AM MEZ,A3N5462QAZ9V6T,18 - 29,Male,High School / GED
2019/12/02 1:38:03 AM MEZ,A3N5462QAZ9V6T,18 - 29,Male,High School / GED
2019/12/02 1:47:41 AM MEZ,A2ZGPCLP5BXSEB,40 - 49,Female,High School / GED
2019/12/02 1:54:12 AM MEZ,ACJ9G9G6ES3WC,30 - 39,Male,2-year College Degree
2019/12/02 1:55:06 AM MEZ,ACJ9G9G6ES3WC,30 - 39,Male,2-year College Degree
2019/12/02 1:59:20 AM MEZ,A1UD50AYOVBEWB,> 50,Female,4-year College Degree
2019/12/02 2:19:36 AM MEZ,A11318F9PB5FFY,30 - 39,Male,Some College
2019/12/02 2:26:58 AM MEZ,AG7HIGV4SPMXP,30 - 39,Female,Some College
2019/12/02 2:27:52 AM MEZ,AG7HIGV4SPMXP,30 - 39,Female,2-year College Degree
2019/12/02 2:50:39 AM MEZ,A3FZLNLVMRPO5Y,18 - 29,Male,4-year College Degree
2019/12/02 2:53:12 AM MEZ,A3FZLNLVMRPO5Y,18 - 29,Male,4-year College Degree
2019/12/02 3:12:28 AM MEZ,A13BYO8D9ICA6H,18 - 29,Trans,Some College
2019/12/02 3:19:13 AM MEZ,A2ELLVV8X003ZD,40 - 49,Female,Masters Degree
2019/12/02 3:34:43 AM MEZ,A37KREDYGDTP4U,18 - 29,Male,High School / GED
2019/12/02 3:41:57 AM MEZ,A3JQ4I8MYB03MW,30 - 39,Male,4-year College Degree
2019/12/02 4:08:52 AM MEZ,A2VKACLXTMOQWO,18 - 29,Male,Masters Degree
2019/12/02 4:11:09 AM MEZ,A2JI7RGC80105T,> 50,Male,4-year College Degree
2019/12/02 4:16:25 AM MEZ,A1QKIA8XRNEXIG,30 - 39,Female,Some College
2019/12/02 4:24:19 AM MEZ,A2BW9ZRET1VR8M,18 - 29,Male,Masters Degree
2019/12/02 4:34:17 AM MEZ,A119XB4OETWU59,18 - 29,Female,Masters Degree
2019/12/02 4:34:54 AM MEZ,A119XB4OETWU59,18 - 29,Female,Masters Degree
2019/12/02 4:35:11 AM MEZ,A119XB4OETWU59,18 - 29,Female,Some College
2019/12/02 4:47:19 AM MEZ,A2CSY8MFSEVQ23,40 - 49,Female,Some College
2019/12/02 5:17:08 AM MEZ,AZ9EWY9BU9ZF1,18 - 29,Female,Masters Degree
2019/12/02 5:29:53 AM MEZ,A12024RZFLY4N7,30 - 39,Male,4-year College Degree
2019/12/02 6:50:44 AM MEZ,AC7QPNOH2LELF,> 50,Female,4-year College Degree
2019/12/02 7:08:21 AM MEZ,A28BGMSZT2H6LD,40 - 49,Male,4-year College Degree
2019/12/02 7:18:12 AM MEZ,A224QB67ATYB97,18 - 29,Male,Some College
2019/12/02 7:22:21 AM MEZ,A3O9UMSX9378PC,40 - 49,Female,Some College
2019/12/02 7:22:41 AM MEZ,A3O9UMSX9378PC,40 - 49,Female,Some College
2019/12/02 7:24:03 AM MEZ,A3O9UMSX9378PC,40 - 49,Female,Some College
2019/12/02 7:39:47 AM MEZ,A3VWU0WEB2VD48,18 - 29,Female,4-year College Degree
2019/12/02 7:50:10 AM MEZ,AURO9GRVYMSD7,30 - 39,Female,Masters Degree
2019/12/02 8:06:57 AM MEZ,COPIEDA9E9Y0LEAYO4V,18 - 29,Female,Masters Degree
2019/12/02 8:08:00 AM MEZ,COPIEDA9E9Y0LEAYO4V,30 - 39,Female,Masters Degree
2019/12/02 8:08:42 AM MEZ,COPIEDA9E9Y0LEAYO4V,18 - 29,Female,Masters Degree
2019/12/02 8:16:38 AM MEZ,A2ZD05YZ9CKQ0D,30 - 39,Female,Masters Degree
2019/12/02 8:18:08 AM MEZ,A2ZD05YZ9CKQ0D,30 - 39,Female,4-year College Degree
2019/12/02 8:29:46 AM MEZ,,18 - 29,Male,Masters Degree
2019/12/02 8:30:10 AM MEZ,,18 - 29,Male,Masters Degree
2019/12/02 8:31:10 AM MEZ,A2YHUSXAEHZ7P2,18 - 29,Male,Masters Degree
2019/12/02 8:41:18 AM MEZ,ACA17ODAP3JRW,40 - 49,Male,Masters Degree
2019/12/02 8:41:50 AM MEZ,ACA17ODAP3JRW,40 - 49,Male,Masters Degree
2019/12/02 8:52:04 AM MEZ,A2Q1JUSJ9THUDZ,30 - 39,Male,4-year College Degree
2019/12/02 9:06:51 AM MEZ,A9X26WT9KNZIA,18 - 29,Male,High School / GED
2019/12/02 9:37:38 AM MEZ,A3BOCQ0VI9BF5R,40 - 49,Female,2-year College Degree
2019/12/02 9:44:01 AM MEZ,muralireddy07@gmail.com,30 - 39,Male,4-year College Degree
2019/12/02 9:45:04 AM MEZ,muralireddy07@gmail.com,18 - 29,Male,Masters Degree
2019/12/02 9:48:56 AM MEZ,ATMD452KBHND8,18 - 29,Female,Masters Degree
2019/12/02 9:49:43 AM MEZ,ATMD452KBHND8,18 - 29,Female,Masters Degree
2019/12/02 9:50:57 AM MEZ,ATMD452KBHND8,30 - 39,Male,Professional Degree
2019/12/02 9:51:19 AM MEZ,ATMD452KBHND8,18 - 29,Female,Some College
2019/12/02 9:52:21 AM MEZ,ATMD452KBHND8,18 - 29,Female,Masters Degree
2019/12/02 10:11:10 AM MEZ,A31NP5WU0L8DCP,18 - 29,Female,Professional Degree
2019/12/02 10:20:49 AM MEZ,na,30 - 39,Male,Masters Degree
2019/12/02 11:05:35 AM MEZ,A3F69R5AE77SOL,30 - 39,Female,2-year College Degree
2019/12/02 11:26:26 AM MEZ,A3GSIZ2GX4L1Z3,30 - 39,Female,4-year College Degree
2019/12/02 11:42:23 AM MEZ,AKK2BPA71TA3M,30 - 39,Male,Masters Degree
2019/12/02 11:42:51 AM MEZ,AKK2BPA71TA3M,30 - 39,Male,Masters Degree
2019/12/02 11:48:37 AM MEZ,A1OEZX55AMURQO,> 50,Female,Some College
2019/12/02 11:49:07 AM MEZ,A1OEZX55AMURQO,> 50,Female,Some College
2019/12/02 11:54:32 AM MEZ,AL90GN96DMQB8,> 50,Male,4-year College Degree
2019/12/02 12:03:29 PM MEZ,A3RJ6WTOZBZ0LF,30 - 39,Male,Masters Degree
